Iteration,Epochs,Total Loss,CE Loss,Regu,Deco,Test Acc,Stage 1,Stage 2,Stage 3,Params,Flops,AP-Epochs,AP-Finetuning Term
0,1,0.01354134076635819,0.014050216028990689,1.7545303106307983,6.863940715789795,92.75,16,32,64,1727962.0,257086144.0,1,"tensor(0., device='cuda:0')"
1,1,0.0070630338049959395,0.007975355002097785,2.5380260944366455,11.661239624023438,92.36,15,30,60,1620286.0,241179328.0,1,"tensor(0., device='cuda:0')"
2,1,0.012712208576500416,0.0139219163460657,4.278117656707764,16.375198364257812,91.98,14,28,56,1512610.0,225272512.0,1,"tensor(0., device='cuda:0')"
3,1,0.024550296547356992,0.02583709469716996,4.926729679107666,17.794713973999023,91.09,13,26,52,1404934.0,209365696.0,1,"tensor(0., device='cuda:0')"
4,1,0.04247127606207505,0.04401399329351261,8.187376022338867,23.61454963684082,90.74,12,24,48,1297258.0,193458880.0,1,"tensor(0., device='cuda:0')"
5,1,0.060685264023020866,0.06225555713661015,9.060151100158691,24.763084411621094,90.05,11,22,44,1189582.0,177552064.0,1,"tensor(0., device='cuda:0')"
6,1,0.09858610768057406,0.10015829479880631,10.392489433288574,26.11437225341797,88.39,10,20,40,1081906.0,161645248.0,1,"tensor(0., device='cuda:0')"
7,1,0.13954130048304797,0.14101325413957239,16.523380279541016,31.242929458618164,87.4,9,18,36,974230.0,145738432.0,1,"tensor(0., device='cuda:0')"
