Files already downloaded and verified
Files already downloaded and verified
Epoch [86/300], Train Accuracy: 95.76%, Test Accuracy: 91.84%
Epoch [87/300], Train Accuracy: 96.02%, Test Accuracy: 91.92%
Epoch [88/300], Train Accuracy: 96.34%, Test Accuracy: 91.75%
Epoch [89/300], Train Accuracy: 96.50%, Test Accuracy: 92.40%
Epoch [90/300], Train Accuracy: 96.65%, Test Accuracy: 91.67%
Epoch [91/300], Train Accuracy: 96.93%, Test Accuracy: 91.42%
Epoch [92/300], Train Accuracy: 96.83%, Test Accuracy: 92.01%
Epoch [93/300], Train Accuracy: 97.11%, Test Accuracy: 90.99%
Epoch [94/300], Train Accuracy: 97.00%, Test Accuracy: 91.55%
Epoch [95/300], Train Accuracy: 97.08%, Test Accuracy: 91.78%
Epoch [96/300], Train Accuracy: 97.15%, Test Accuracy: 91.87%
Epoch [97/300], Train Accuracy: 96.98%, Test Accuracy: 91.72%
Epoch [98/300], Train Accuracy: 97.11%, Test Accuracy: 90.48%
Epoch [99/300], Train Accuracy: 97.01%, Test Accuracy: 90.74%
Epoch [100/300], Train Accuracy: 97.23%, Test Accuracy: 91.29%
Epoch [101/300], Train Accuracy: 97.18%, Test Accuracy: 90.79%
Epoch [102/300], Train Accuracy: 97.09%, Test Accuracy: 90.01%
Epoch [103/300], Train Accuracy: 96.99%, Test Accuracy: 90.97%
Epoch [104/300], Train Accuracy: 97.03%, Test Accuracy: 91.89%
Epoch [105/300], Train Accuracy: 96.96%, Test Accuracy: 91.02%
Epoch [106/300], Train Accuracy: 96.99%, Test Accuracy: 91.16%
Epoch [107/300], Train Accuracy: 96.93%, Test Accuracy: 91.45%
Epoch [108/300], Train Accuracy: 97.24%, Test Accuracy: 91.52%
Epoch [109/300], Train Accuracy: 96.90%, Test Accuracy: 91.30%
Epoch [110/300], Train Accuracy: 96.92%, Test Accuracy: 91.28%
Epoch [111/300], Train Accuracy: 97.22%, Test Accuracy: 91.25%
Epoch [112/300], Train Accuracy: 96.88%, Test Accuracy: 91.00%
Epoch [113/300], Train Accuracy: 97.14%, Test Accuracy: 91.19%
Epoch [114/300], Train Accuracy: 96.81%, Test Accuracy: 91.01%
Epoch [115/300], Train Accuracy: 96.91%, Test Accuracy: 90.62%
Epoch [116/300], Train Accuracy: 96.92%, Test Accuracy: 91.16%
Epoch [117/300], Train Accuracy: 96.93%, Test Accuracy: 91.19%
Epoch [118/300], Train Accuracy: 97.08%, Test Accuracy: 91.27%
Epoch [119/300], Train Accuracy: 97.08%, Test Accuracy: 89.88%
Epoch [120/300], Train Accuracy: 96.88%, Test Accuracy: 90.39%
Epoch [121/300], Train Accuracy: 96.97%, Test Accuracy: 91.18%
Epoch [122/300], Train Accuracy: 96.91%, Test Accuracy: 90.26%
Epoch [123/300], Train Accuracy: 97.11%, Test Accuracy: 90.08%
Epoch [124/300], Train Accuracy: 96.78%, Test Accuracy: 90.98%
Epoch [125/300], Train Accuracy: 97.15%, Test Accuracy: 90.45%
Epoch [126/300], Train Accuracy: 97.03%, Test Accuracy: 91.15%
Epoch [127/300], Train Accuracy: 96.92%, Test Accuracy: 90.22%
Epoch [128/300], Train Accuracy: 96.97%, Test Accuracy: 89.87%
Epoch [129/300], Train Accuracy: 97.07%, Test Accuracy: 90.51%
Epoch [130/300], Train Accuracy: 97.15%, Test Accuracy: 91.14%
Epoch [131/300], Train Accuracy: 97.07%, Test Accuracy: 91.25%
Epoch [132/300], Train Accuracy: 96.99%, Test Accuracy: 90.47%
Epoch [133/300], Train Accuracy: 97.26%, Test Accuracy: 90.34%
Epoch [134/300], Train Accuracy: 97.16%, Test Accuracy: 90.17%
Epoch [135/300], Train Accuracy: 97.06%, Test Accuracy: 89.75%
Epoch [136/300], Train Accuracy: 97.19%, Test Accuracy: 90.99%
Epoch [137/300], Train Accuracy: 97.19%, Test Accuracy: 91.27%
Epoch [138/300], Train Accuracy: 97.25%, Test Accuracy: 90.04%
Epoch [139/300], Train Accuracy: 97.03%, Test Accuracy: 91.02%
Epoch [140/300], Train Accuracy: 97.04%, Test Accuracy: 87.76%
Epoch [141/300], Train Accuracy: 98.71%, Test Accuracy: 93.04%
Epoch [142/300], Train Accuracy: 99.36%, Test Accuracy: 93.11%
Epoch [143/300], Train Accuracy: 99.44%, Test Accuracy: 93.26%
Epoch [144/300], Train Accuracy: 99.53%, Test Accuracy: 93.37%
Epoch [145/300], Train Accuracy: 99.63%, Test Accuracy: 93.39%
Epoch [146/300], Train Accuracy: 99.65%, Test Accuracy: 93.51%
Epoch [147/300], Train Accuracy: 99.72%, Test Accuracy: 93.55%
Epoch [148/300], Train Accuracy: 99.73%, Test Accuracy: 93.65%
Epoch [149/300], Train Accuracy: 99.77%, Test Accuracy: 93.49%
Epoch [150/300], Train Accuracy: 99.80%, Test Accuracy: 93.42%
Epoch [151/300], Train Accuracy: 99.82%, Test Accuracy: 93.57%
Epoch [152/300], Train Accuracy: 99.83%, Test Accuracy: 93.48%
Epoch [153/300], Train Accuracy: 99.83%, Test Accuracy: 93.64%
Epoch [154/300], Train Accuracy: 99.85%, Test Accuracy: 93.52%
Epoch [155/300], Train Accuracy: 99.85%, Test Accuracy: 93.65%
Epoch [156/300], Train Accuracy: 99.88%, Test Accuracy: 93.59%
Epoch [157/300], Train Accuracy: 99.84%, Test Accuracy: 93.62%
Epoch [158/300], Train Accuracy: 99.84%, Test Accuracy: 93.63%
Epoch [159/300], Train Accuracy: 99.88%, Test Accuracy: 93.56%
Epoch [160/300], Train Accuracy: 99.91%, Test Accuracy: 93.74%
Epoch [161/300], Train Accuracy: 99.88%, Test Accuracy: 93.68%
Epoch [162/300], Train Accuracy: 99.89%, Test Accuracy: 93.56%
Epoch [163/300], Train Accuracy: 99.88%, Test Accuracy: 93.72%
Epoch [164/300], Train Accuracy: 99.90%, Test Accuracy: 93.67%
