Iteration,Epochs,Total Loss,CE Loss,Regu,Deco,Test Acc,Stage 1,Stage 2,Stage 3,Params,Flops,AP-Epochs,AP-Finetuning Term
0,1,0.021320346744672862,0.02152881436177995,1.8520574569702148,3.841391086578369,93.34,16,32,64,853018.0,127619776.0,1,"tensor(0., device='cuda:0')"
1,1,0.01092862882593181,0.011567729505128228,2.575396776199341,8.966365814208984,92.46,15,30,60,799900.0,119740096.0,1,"tensor(0., device='cuda:0')"
2,1,0.02014225086546503,0.02093879461986944,3.9696898460388184,11.935051918029785,92.37,14,28,56,746782.0,111860416.0,1,"tensor(0., device='cuda:0')"
3,1,0.0366138142393902,0.037711561562493445,4.427319526672363,15.40454387664795,91.72,13,26,52,693664.0,103980736.0,1,"tensor(0., device='cuda:0')"
4,1,0.057288845719769596,0.058246961317956446,6.225130081176758,15.806387901306152,91.3,12,24,48,640546.0,96101056.0,1,"tensor(0., device='cuda:0')"
5,1,0.09412997363880277,0.09559924499318004,6.8717803955078125,21.56458282470703,90.02,11,22,44,587428.0,88221376.0,1,"tensor(0., device='cuda:0')"
6,1,0.13223341255635024,0.1339836745634675,7.7182111740112305,25.219884872436523,88.79,10,20,40,534310.0,80341696.0,1,"tensor(0., device='cuda:0')"
7,1,0.19147262362390757,0.1930588603541255,10.456596374511719,26.318803787231445,87.62,9,18,36,481192.0,72462016.0,1,"tensor(0., device='cuda:0')"
8,1,0.26482626743614673,0.26635728569328787,11.868829727172852,27.178810119628906,86.08,8,16,32,428074.0,64582336.0,1,"tensor(0., device='cuda:0')"
