Iteration,Epochs,Total Loss,CE Loss,Regu,Deco,Test Acc,Stage 1,Stage 2,Stage 3,Params,Params %,Flops,Flops %,AP-Epochs,AP-Finetuning Term,H:M
1,40,0.05806595202814788,0.062284901552833616,1.9739782810211182,5.916234970092773,90.92,16,32,64,853018.0,100.0,127619776.0,100.0,40,0.0020593152030072737,32.0:57.0
2,40,0.00694454722199589,0.016294963110005483,2.8725364208221436,12.498318672180176,90.82,15,30,60,799900.0,93.77293327925085,119740096.0,93.8256591204172,40,0.0016873632781394525,30.0:48.0
3,40,0.008006110553629696,0.017345091921102722,4.140913009643555,12.573673248291016,90.52,14,28,56,746782.0,87.5458665585017,111860416.0,87.6513182408344,40,0.0015486248205508742,28.0:49.0
4,40,0.0009196968879550695,0.016355327181168833,4.463977336883545,20.595359802246094,90.59,13,26,52,693664.0,81.31879983775254,103980736.0,81.4769773612516,40,0.0014985034297639338,27.0:10.0
5,40,-0.0005126709807664156,0.013909633088573172,6.285433292388916,20.761457443237305,90.37,12,24,48,640546.0,75.09173311700339,96101056.0,75.3026364816688,40,0.0014208136167953448,25.0:35.0
6,40,-0.0048181259874254465,0.013629282822308596,6.879477500915527,23.29817008972168,90.41,11,22,44,587428.0,68.86466639625424,88221376.0,69.128295602086,40,0.0013876543975536158,24.0:3.0
